,Force / N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time / s,9.99g try 1,9.99g try 2,9.99g try 3,20.18 try 1,20.18 try 2,20.18 try 3,30.26 try 1,30.26 try 2,30.26 try 3,40.31 try 1,40.31 try 2,40.31 try 3,50.48 try 1,50.48 try 2,50.48 try 3,60.51 try 1,60.51 try 2,60.51 try 3,70.59 try 1,70.59 try 2,70.59 try 3,80.81 try 1,80.81 try 2,80.81 try 3,91.21 try 1,91.21 try 2,91.21 try 3,100.95 try 1,100.95 try 2,100.95 try 3
0.48,-0.7595288657,-1.761452,-2.457368092,2.852112011,0.4649545888,-4.289747226,0.1804747814,0.6184446462,1.084796999,4.254577119,-0.8789178329,3.591259308,7.638272555,3.920812245,-2.532949632,6.434181729,1.632556944,-0.3955426936,-0.1573583045,-2.116656734,1.560859913,4.537580242,-5.969711082,-5.777487478,-5.346602224,4.725563606,-3.409489797,4.633965273,1.761214014,3.352585218
0.49,-0.7252815831,-2.012956084,-3.204066236,2.857535047,0.4720328115,-3.869260833,0.002998337476,1.175752567,1.665952468,3.486843406,-0.7138961658,2.707314784,7.384066838,3.92030846,-2.451299102,6.471494105,1.691104894,-0.396995597,-0.1601855784,-2.247963417,1.665626039,4.814908351,-6.23556963,-6.431026766,-5.837679377,5.175909081,-3.94470636,5.079533141,2.193767998,3.760286727
0.5,-0.6594383258,-2.1784318,-3.812642712,2.796631227,0.4683117689,-3.355642665,-0.1745245959,1.714947054,2.221689632,2.677723508,-0.540478576,1.791764432,7.060238513,3.883612611,-2.346206607,6.457360793,1.736209264,-0.3952967925,-0.1619292711,-2.363911814,1.758998699,5.063331388,-6.463994529,-7.045968986,-6.297567608,5.59860883,-4.458847573,5.500674136,2.615677938,4.149748764
0.51,-0.564867472,-2.250807156,-4.256862857,2.670814201,0.4538765919,-2.761255334,-0.3493415106,2.227721374,2.74352932,1.836821062,-0.3607045767,0.8552965998,6.669840881,3.81106347,-2.218677155,6.391894148,1.767511492,-0.3904597665,-0.1625775873,-2.463709755,1.840339192,5.28135801,-6.65361449,-7.618623443,-6.723809877,5.991405117,-4.949166538,5.895363043,3.024896751,4.519082222
0.52,-0.4456888814,-2.226989025,-4.517577121,2.483004335,0.4290575316,-2.100405539,-0.5187418558,2.706175817,3.223509551,0.9741169433,-0.1766884371,-0.09115616536,6.216554908,3.703330808,-2.06993032,6.275614603,1.784762738,-0.3825229199,-0.1621261416,-2.546675411,1.909091121,5.467679349,-6.803291178,-8.145553238,-7.114128902,6.352199925,-5.413043632,6.26170185,3.419438928,4.866495629
0.53,-0.3070944184,-2.107995328,-4.58354657,2.237560925,0.3944224034,-1.388999707,-0.6800990646,3.1429394,3.654307017,0.09985079559,0.009405683319,-1.036544752,5.70465452,3.561409206,-1.90138858,6.109446531,1.787825863,-0.3715492624,-0.1605779878,-2.612241954,1.964784198,5.621176873,-6.912126046,-8.623595898,-7.466439331,6.679066167,-5.848000503,6.597928875,3.797390173,5.190303838
0.54,-0.1551217756,-1.89891154,-4.451927376,1.94018101,0.3507635971,-0.6441611299,-0.8309112799,3.531283422,4.029348816,-0.7756005053,0.1953891862,-1.969832472,5.138966303,3.386608876,-1.714663712,5.894710899,1.776676516,-0.3576259127,-0.1579435983,-2.659961427,2.007037463,5.740929098,-6.979465732,-9.049882358,-7.778858875,6.970257974,-6.25171331,6.902427244,4.156916686,5.488936199
0.55,0.003608551081,-1.608673342,-4.128393413,1.597767138,0.2990799481,0.1161821835,-0.9688401456,3.865225122,4.342912741,-1.641846017,0.3790747744,-2.880123904,4.524823996,3.180543565,-1.511541381,5.633114767,1.751403329,-0.340863407,-0.1542407936,-2.689507807,2.035561889,5.826217124,-7.004905981,-9.421854174,-8.049718375,7.224220024,-6.62202514,7.173732661,4.496274065,5.760944181
0.56,0.1621816758,-1.249684741,-3.62689166,1.218267152,0.2405538856,0.8737290318,-1.091747063,4.139619857,4.590214583,-2.488604061,0.5583021757,-3.756792094,3.868018202,2.945115657,-1.293964062,5.326737715,1.712207213,-0.3213948211,-0.1494946215,-2.70067923,2.050162359,5.876528944,-6.988294067,-9.737278887,-8.277570711,7.439595847,-6.956957531,7.410540448,4.813815765,6.005008394
0.57,0.3136895611,-0.83728795,-2.969040978,0.8104897065,0.176524381,1.610245523,-1.19772635,4.350240349,4.76748113,-3.305824263,0.7309635495,-4.589602609,3.174741786,2.682498608,-1.064012463,4.978015312,1.659399763,-0.2993747141,-0.1437371876,-2.693399372,2.050739,5.891562526,-6.929729716,-9.994263411,-8.461198539,7.61523507,-7.254721043,7.611711827,5.108001092,6.219944991
0.58,0.4515319574,-0.3891077079,-2.183200155,0.3838998111,0.1084563148,2.30800396,-1.285134789,4.493841817,4.872007732,-4.083806838,0.895028276,-5.368833026,2.451531485,2.395116884,-0.8238856304,4.589719758,1.593400774,-0.2749779014,-0.1370074383,-2.66771797,2.037287869,5.871227617,-6.829564504,-10.1912654,-8.599620792,7.750199564,-7.513724817,7.776279387,5.377402674,6.404711411
0.59,0.5697039351,0.07570195873,-1.303245407,-0.05160086496,0.03790696245,2.950209537,-1.352617104,4.568211962,4.902199573,-4.813317724,1.048566838,-6.085386424,1.705206278,2.085623577,-0.5758799148,4.164937841,1.514734912,-0.2483980669,-0.1293508973,-2.62381048,2.009900976,5.815646295,-6.688399748,-10.32710252,-8.692097922,7.843768453,-7.732585075,7.903451744,5.62071339,6.558411435
0.6,0.6630574817,0.5372763258,-0.3671100387,-0.4859038223,-0.03350963334,3.521404586,-1.399126976,4.572205052,4.857596001,-5.48569818,1.189773515,-6.730897591,0.9428030875,1.756875911,-0.3223670145,3.707046399,1.424027537,-0.2198462252,-0.1208193574,-2.561976884,1.968765656,5.725152227,-6.507082894,-10.40095951,-8.738135852,7.895441963,-7.910132516,7.992617339,5.836752708,6.680299532
